2026-02-12_29:12:29,see,görmek,görmek,True,2
2026-02-12_29:12:33,yard,bahçe,bahçe,True,2
2026-02-12_29:12:55,watermelon,karpuz,watermelom,False,2
2026-02-12_29:12:25,hope,ummak,,blank,2
2026-02-12_29:12:12,give,vermek,vermek,True,2
2026-02-12_29:12:30,flour,un,,blank,2
2026-02-12_29:12:36,socks,çorap,çorap,True,2
2026-02-12_29:12:46,leave,ayrılmak,leave,True,2
2026-02-12_29:12:54,dining room,yemek odası,mutfak,False,2
2026-02-12_29:23:30,look,bakmak,,blank,2
2026-02-12_29:23:49,push,itmek,,blank,2
2026-02-12_29:23:54,work,çalışmak,work,True,2
2026-02-12_29:24:02,sit,oturmak,,blank,2
2026-02-12_29:24:06,raise,yükseltmek,,blank,2
2026-02-12_29:24:09,jam,reçel,reçel,True,2
2026-02-12_29:24:26,pants,pantolon,,blank,2
2026-02-12_29:24:37,blouse,bluz,,blank,2
2026-02-12_29:24:40,walk,yürümek,yürümek,True,2
2026-02-12_29:24:52,return,geri dönmek,,blank,2
2026-02-12_29:25:00,create,yaratmak,,blank,2
2026-02-12_29:25:06,hat,şapka,,blank,2
2026-02-12_29:25:08,want,istemek,want,True,2
2026-02-12_29:25:25,stand,ayakta durmak,,blank,2
2026-02-12_29:25:28,feel,hissetmek,,blank,2
2026-02-12_29:25:20,dessert,tatlı,swet,False,2
2026-02-12_29:25:27,run,koşmak,koşmak,True,2
2026-02-12_29:25:36,help,yardım etmek,yardım etmek,True,2
2026-02-12_29:25:53,sell,satmak,sell,True,2
2026-02-12_29:26:02,boots,bot,,blank,2
2026-02-12_29:26:08,find,bulmak,,blank,2
2026-02-12_29:26:12,dress,elbise,,blank,2
2026-02-12_29:26:27,belt,kemer,,blank,2
2026-02-12_29:26:20,fall,düşmek,,blank,2
2026-02-12_29:26:12,shorts,şort,,blank,2
2026-02-12_29:26:26,sandals,sandalet,,blank,2
2026-02-12_29:26:35,bring,getirmek,,blank,2
2026-02-12_29:26:40,ask,sormak,,blank,2
2026-02-12_29:26:45,soda,gazoz,,blank,2
2026-02-12_29:26:47,use,kullanmak,,blank,2
2026-02-12_29:26:56,follow,takip etmek,folew me,False,2
2026-02-12_29:27:09,peas,bezelye,,blank,2
2026-02-12_29:27:24,say,söylemek,söylemek,True,2
2026-02-12_29:27:25,try,denemek,try,True,2
2026-02-12_29:27:32,love,sevmek,sevmek,True,2
2026-02-12_29:27:39,cheeseburger,peynirli hamburger,,blank,2
2026-02-12_29:27:44,consider,düşünmek,think,False,2
2026-02-12_29:27:52,do,yapmak,do,True,2
2026-02-12_29:28:27,t-shirt,tişört,tişört,True,2
2026-02-12_29:28:28,add,eklemek,eklemek,True,2
2026-02-12_29:28:37,win,kazanmak,win,True,2
